id	verb	transitive	derived	type
173	اِرْتَفَعَ	1	مُرْتَفَعٌ	Predicate
174	اِرْتَقَبَ	1	مُرْتَقَبٌ	Predicate
175	اِرْتَقَعَ	1	مُرْتَقَعٌ	Predicate
176	اِرْتَقَى	1	مُرْتَقىً	Predicate
177	اِرْتَكَبَ	1	مُرْتَكَبٌ	Predicate
178	اِرْتَكَزَ	1	مُرْتَكَزٌ	Predicate
179	اِزْدَحَمَ	1	مُزْدَحَمٌ	Predicate
180	اِسْتَبَاحَ	1	مُسْتَبَاحٌ	Predicate
181	اِسْتَبْعَدَ	1	مُسْتَبْعَدٌ	Predicate
182	اِسْتَثْنَى	1	مُسْتَثْنىً	Predicate
183	اِسْتَجَابَ	1	مُسْتَجَابٌ	Predicate
184	اِسْتَجَدَّ	1	مُسْتَجَدٌّ	Predicate
185	اِسْتَجْوَبَ	1	مُسْتَجْوَبٌ	Predicate
186	اِسْتَحْدَثَ	1	مُسْتَحْدَثٌ	Predicate
187	اِسْتَحْسَنَ	1	مُسْتَحْسَنٌ	Predicate
188	اِسْتَحْضَرَ	1	مُسْتَحْضَرٌ	Predicate
189	اِسْتَحَقَّ	1	مُسْتَحَقٌّ	Predicate
190	اِسْتَحْكَمَ	1	مُسْتَحْكَمٌ	Predicate
191	اِسْتَحْلَبَ	1	مُسْتَحْلَبٌ	Predicate
192	اِسْتَحَمَّ	1	مُسْتَحَمٌّ	Predicate
193	اِسْتَخْدَمَ	1	مُسْتَخْدَمٌ	Predicate
194	اِسْتَخْرَجَ	1	مُسْتَخْرَجٌ	Predicate
195	اِسْتَخْلَصَ	1	مُسْتَخْلَصٌ	Predicate
196	اِسْتَدَارَ	1	مُسْتَدِيرٌ	Predicate
197	اِسْتَدَقَّ	1	مُسْتَدَقٌّ	Predicate
198	اِسْتَدَلَّ	1	مُسْتَدَلٌّ	Predicate
199	اِسْتَرَقَّ	1	مُسْتَرَقٌّ	Predicate
200	اِسْتَسَاغَ	1	مُسْتَسَاغٌ	Predicate
201	اِسْتَشَارَ	1	مُسْتَشَارٌ	Predicate
202	اِسْتَشْفَى	1	مُسْتَشْفىً	Predicate
203	اِسْتَطَاعَ	1	مُسْتَطَاعٌ	Predicate
204	اِسْتَعَارَ	1	مُسْتَعَارٌ	Predicate
